activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
1,1,15,650,167,857,466,350,346,452,595,239,30231,0,35937
0,1,14,547,712,731,350,737,237,412,385,324,24070,1,35945
2,2,14,932,888,598,391,665,523,400,515,555,31518,0,35959
1,1,14,537,932,409,499,331,479,759,804,418,33970,0,35949
1,1,15,491,564,357,447,382,277,153,963,363,1778,0,35909
1,1,14,578,236,209,113,209,502,625,349,277,33808,0,35926
0,0,15,254,392,329,626,244,616,450,306,525,32991,0,35976
1,1,14,520,771,354,1255,149,633,795,416,648,34518,0,35979
1,1,14,687,571,458,173,226,347,949,307,696,34978,0,35954
1,1,14,631,677,683,593,800,524,726,507,479,31613,0,35949
0,0,15,355,171,574,585,761,468,426,314,340,23589,0,35961
1,2,14,1335,673,139,454,140,924,432,628,438,24408,2,35984
0,1,15,658,1123,244,330,207,392,353,805,342,26213,0,35981
1,1,14,707,848,346,490,507,445,451,529,698,34705,0,35963
0,1,14,473,454,476,130,648,104,828,960,888,29195,0,35933
0,0,14,369,339,536,132,1128,59,247,533,619,6542,0,35941
1,1,14,809,629,741,476,714,434,64,399,433,32893,0,35974
1,2,15,885,558,1079,288,386,1046,462,382,472,29180,1,35966
0,0,14,401,363,324,606,878,601,538,391,779,31009,0,35925
0,0,14,162,415,146,416,170,317,546,569,507,10275,0,35907
1,2,14,941,861,865,178,276,928,142,792,928,27704,1,35918
1,2,15,921,274,273,154,308,517,311,730,754,26100,1,35948
2,2,14,1040,620,819,526,818,418,494,273,157,33353,0,35957
0,1,14,522,90,335,907,533,456,474,525,542,22300,1,35944
2,2,14,1281,439,828,502,420,391,559,245,489,29507,1,35929
0,1,15,603,936,110,433,467,333,746,336,277,21058,1,35945
3,3,14,1501,530,618,669,271,679,380,575,349,34678,0,35978
0,0,14,213,933,367,170,494,205,379,110,392,12907,0,35988
1,1,15,753,785,508,607,416,632,138,159,82,34422,0,35957
1,1,14,635,388,179,274,546,162,340,484,231,32981,0,35939
2,2,14,1234,1007,590,919,260,137,340,86,340,31814,0,35970
2,2,15,960,192,138,842,380,280,829,812,367,33377,0,35999
0,1,14,656,921,720,1301,411,622,301,553,659,25505,1,35990
2,2,14,916,852,949,265,397,199,437,790,280,33305,0,35954
0,0,14,336,413,567,150,422,253,791,710,307,32787,0,35940
1,1,15,837,453,204,213,187,214,152,528,461,32098,0,35954
1,1,14,815,97,325,260,675,607,309,341,242,29264,0,35931
2,2,14,1313,554,288,651,349,137,204,308,570,30260,1,35893
1,1,15,751,483,461,372,502,384,570,836,703,29323,0,35900
1,1,15,601,469,191,743,235,403,783,431,157,30485,0,35930
0,0,14,235,1047,544,471,305,738,556,373,144,31688,0,35949
0,0,14,383,108,274,439,795,687,468,293,183,18935,0,35961
1,1,14,868,720,758,764,673,231,457,157,84,30609,0,35964
1,1,15,526,348,288,331,991,335,464,188,205,34569,0,35937
0,0,14,154,147,177,628,283,219,282,857,125,20597,0,35916
1,1,14,733,653,817,663,388,545,95,1039,311,29709,0,35931
1,1,14,773,1119,237,390,347,101,537,174,222,34412,0,35930
0,1,14,763,683,219,840,636,517,193,467,176,21752,1,35945
0,1,14,426,170,453,530,513,437,401,805,416,34098,0,35953
1,1,14,554,537,895,668,689,688,160,339,230,34401,0,35959
0,0,14,327,854,259,386,768,243,388,966,454,30246,0,35975
0,0,14,231,426,348,764,459,550,527,251,247,25580,0,35982
2,2,14,1179,263,343,684,749,354,383,335,538,26822,1,35995
1,1,14,651,154,137,233,319,286,94,309,90,34726,0,36004
1,1,14,480,484,290,479,489,114,571,513,428,30691,0,35999
1,1,14,465,523,733,699,320,720,211,82,431,33777,0,36011
1,1,14,814,722,464,331,678,646,447,379,454,32489,0,36012
1,1,14,613,1004,581,276,486,500,330,578,612,31453,0,36026
1,1,15,804,213,336,342,239,344,976,500,658,27329,1,36028
1,1,14,483,250,135,439,59,863,345,594,699,29726,0,36028
0,0,15,315,915,752,293,277,269,263,240,975,27137,0,36036
0,0,14,367,297,249,481,631,703,468,513,600,34191,0,36023
0,0,15,473,499,120,514,677,249,357,72,502,16350,0,36014
0,1,15,635,468,249,740,850,98,783,442,268,21519,1,36028
1,1,14,591,321,319,911,564,594,391,346,681,29513,0,36018
1,2,14,980,862,488,427,494,370,610,479,149,28400,1,36011
1,1,14,531,604,564,1264,498,412,380,565,644,33535,0,36002
0,1,14,845,379,256,179,681,421,641,270,204,23402,1,35982
0,0,14,316,527,444,702,662,703,567,333,321,22072,0,35987
1,1,14,736,133,258,24,400,44,416,138,106,33609,0,35987
0,1,14,492,51,304,320,540,520,141,195,108,28618,0,36007
0,0,14,315,244,1006,818,237,669,148,353,423,26692,0,36012
0,0,14,389,207,363,479,836,211,354,263,1001,26237,0,35999
0,1,15,641,974,494,681,457,596,1019,545,437,24736,1,35996
1,2,14,938,325,202,412,224,268,158,449,290,25994,1,36006
1,1,14,686,386,501,670,505,341,706,829,69,27150,1,36025
2,2,15,979,100,536,454,511,48,224,308,547,34974,0,36029
1,2,15,933,275,1317,178,832,219,655,1024,213,29690,0,36014
1,1,14,835,370,389,230,1180,304,670,1179,509,31802,0,36011
2,2,14,1278,301,180,782,400,561,780,115,492,31791,0,36022
2,2,14,1125,401,454,709,830,749,839,477,436,34045,0,36041
1,2,14,983,114,652,1129,666,460,554,81,422,26302,1,36031
1,2,14,1093,414,338,309,364,614,535,434,1060,24468,2,36038
0,0,14,203,787,638,502,159,757,357,781,296,19704,0,36030
0,1,14,606,441,430,518,812,750,344,303,178,17575,1,36031
0,0,14,178,169,733,547,414,1012,284,224,759,30224,0,36036
0,1,14,434,437,146,613,332,1268,134,676,1104,29954,0,36048
0,0,14,401,392,626,1013,104,560,637,1031,408,25929,0,36043
0,0,14,425,555,197,783,232,200,461,391,1115,27691,0,36033
2,2,14,914,154,110,507,884,189,434,70,827,34631,0,36029
2,2,14,997,642,234,597,394,317,606,62,162,32002,0,36024
0,0,14,272,457,125,372,445,648,496,978,558,28651,0,36030
1,1,14,641,876,341,721,1198,215,542,503,193,32811,0,36040
0,0,14,314,428,252,307,506,255,1263,822,516,31625,0,36041
1,1,14,632,229,234,673,654,670,1009,471,312,34728,0,36039
0,1,14,493,587,324,290,956,597,862,472,466,23033,0,36032
0,1,14,519,380,341,385,627,336,321,1187,116,27744,0,36013
2,2,14,988,1063,834,276,757,728,413,264,723,34649,0,36022
3,3,14,1557,795,293,492,373,70,316,464,335,33580,0,36024
0,0,14,412,478,401,133,293,599,633,450,882,22209,0,36015
1,1,14,645,1449,266,140,928,914,453,633,229,34097,0,36022
1,2,14,940,259,170,313,259,76,642,905,250,29942,0,36038
2,2,15,1227,931,278,182,670,366,538,423,464,33324,0,36020
1,2,14,1113,978,250,722,313,504,475,385,659,25334,2,36024
1,1,15,684,444,307,263,522,912,414,369,258,32626,0,35995
0,0,14,137,682,199,197,541,355,219,174,550,29399,0,36000
1,2,14,1004,131,809,669,491,278,186,104,614,27814,1,35998
0,0,14,387,537,497,238,801,345,607,217,439,24023,0,35988
2,2,14,903,907,281,313,258,685,335,454,463,35101,0,36004
1,1,15,796,571,877,221,223,418,338,535,292,24979,1,35997
1,2,14,883,138,19,311,236,604,353,597,736,31558,0,36003
2,2,14,903,352,495,781,243,555,303,1224,516,33559,0,36028
2,2,14,1262,174,296,130,589,523,61,817,286,31836,0,36027
0,0,14,192,574,781,692,745,354,401,362,807,28190,0,35998
0,1,14,807,1108,91,246,749,660,770,382,658,23053,1,36012
1,1,14,670,513,359,925,292,892,255,754,314,34473,0,36028
0,0,14,107,855,244,224,763,296,591,377,332,22180,0,36037
1,1,14,646,189,498,385,266,932,113,457,600,33692,0,36025
2,2,15,1105,269,132,587,226,375,303,339,265,32341,0,36063
0,0,14,220,827,895,376,144,415,431,152,331,28224,0,36093
0,1,14,764,520,276,330,674,447,837,830,635,18549,1,36099
2,2,14,867,745,21,277,547,627,262,775,453,33967,0,36087
1,1,14,464,1125,155,538,613,475,520,265,351,34156,0,36066
0,0,14,339,250,820,327,998,330,464,608,467,29572,0,36068
0,0,14,177,969,1012,399,665,443,257,330,467,2223,0,36084
2,2,14,970,466,317,105,806,313,907,881,544,33765,0,36087
0,1,14,527,597,445,157,548,1005,590,900,206,26233,0,36085
0,1,14,433,270,517,252,199,603,551,355,440,16340,1,36065
1,1,14,780,585,288,114,328,364,419,519,344,33417,0,36072
2,2,14,931,403,532,24,542,308,376,313,376,32630,0,36068
2,2,14,908,629,561,206,192,293,799,352,106,34952,0,36083
2,3,14,1474,85,678,273,286,348,229,438,769,29728,1,36098
1,1,14,868,465,414,193,1029,408,465,124,664,32769,0,36093
0,0,15,415,842,791,273,222,677,320,254,261,30323,0,36088
1,2,14,1012,362,332,567,815,402,146,199,382,9868,1,36106
1,1,14,570,963,176,547,935,30,802,515,379,33634,0,36115
0,0,14,85,68,389,92,524,188,734,98,937,34687,0,36105
1,1,14,792,796,157,835,406,476,604,520,304,33065,0,36116
1,1,14,682,746,647,530,1071,469,356,264,480,30864,0,36121
1,1,14,713,524,494,1271,329,143,722,614,468,34882,0,36134
0,0,14,451,581,151,334,794,242,662,411,332,20659,0,36119
1,2,14,894,644,582,215,225,368,334,626,391,25992,1,36097
1,1,15,845,788,641,1099,385,597,370,675,365,31013,0,36081
0,1,14,541,877,91,83,469,399,653,685,639,26036,0,36084
2,2,14,910,235,264,159,18,270,368,507,223,34960,0,36081
1,2,14,841,710,475,670,610,1078,322,425,830,25678,1,36100
0,0,14,410,239,563,356,114,478,323,312,127,32986,0,36074
1,1,14,859,939,570,427,77,650,347,266,523,31495,0,36070
0,0,14,240,546,199,403,890,511,576,489,369,22048,0,36085
2,2,14,943,813,861,596,514,643,868,435,230,35060,0,36099
0,0,14,188,492,592,416,325,278,760,457,359,34600,0,36131
1,1,14,823,962,765,508,276,221,776,882,196,31541,0,36125
1,1,14,867,388,359,857,773,475,766,1026,570,34982,0,36115
1,1,14,843,263,206,111,77,534,399,385,403,34547,0,36122
3,3,14,1381,346,433,1323,571,595,542,370,264,31471,1,36116
2,2,14,1011,456,497,721,537,444,286,148,130,31472,0,36127
0,1,14,439,429,340,178,175,243,412,455,228,21666,1,36125
1,1,15,746,559,385,338,221,265,725,724,1182,34130,0,36121
1,1,14,536,701,846,241,755,459,141,640,544,30262,0,36123
2,2,15,978,532,640,677,427,451,565,83,971,32301,0,36141
0,0,14,297,394,861,221,326,438,823,628,369,25712,0,36139
0,1,14,538,279,198,370,9,647,993,248,466,11467,1,36128
