activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
14769,14769,4141,7317,2667,64706,2668,27239,572,37719,1542,46926,66,88,34822
14761,14761,4140,5577,2007,186,2849,26382,1762,40595,1523,48643,69,92,34812
14765,14765,4141,6743,1901,65476,2054,25135,1773,39602,296,46678,69,91,34815
14772,14773,4142,8468,3056,64063,3192,27366,564,38697,1683,46846,66,87,34825
14767,14768,4141,7048,1671,812,2991,24481,1290,39145,1277,48198,69,91,34820
14772,14772,4142,8547,1506,65260,2254,24016,2045,39121,506,48306,70,92,34823
14764,14764,4141,6058,1690,104,1799,24145,1822,39494,827,48671,68,90,34816
14765,14766,4141,6835,2717,63207,3451,25943,1328,36784,2082,46749,65,85,34817
14768,14768,4141,7039,2016,1468,2465,23955,2651,39637,2176,49316,70,92,34820
14780,14780,4143,10048,3608,63999,3665,28095,929,37022,2162,46458,65,86,34835
14770,14770,4142,7672,1598,64688,2627,24851,1186,39640,742,48786,68,90,34823
14763,14764,4141,6275,2500,156,2394,25987,1419,39248,288,48701,68,89,34814
14753,14753,4139,3918,1435,64337,2896,25315,1443,38401,967,47822,67,89,34802
14752,14753,4139,3682,1938,227,2384,23184,2499,38767,926,49026,69,92,34802
14769,14769,4142,7556,3016,63031,2426,27526,771,36574,1532,46685,67,88,34821
14778,14779,4143,9304,2968,64373,2733,27223,326,36764,1090,47492,66,88,34834
14772,14772,4142,7855,1556,64794,2413,26575,946,36926,629,48384,67,89,34826
14753,14753,4139,3463,2441,600,1837,26179,2922,38863,1719,49858,69,92,34804
14754,14755,4140,4223,2208,63239,3281,28659,799,37277,1285,47807,66,87,34805
14773,14773,4142,8092,2342,65014,2138,26979,1770,37668,506,48722,68,91,34826
14787,14788,4144,11144,1717,220,3656,28659,1948,38431,1299,50023,69,92,34845
14791,14791,4144,12060,2565,63783,3299,28028,663,36878,1684,48302,67,89,34850
14773,14773,4142,7722,1748,64378,2764,28677,311,35404,1019,48800,67,88,34830
14782,14782,4143,9793,1569,559,2798,26695,2184,38414,939,49583,69,91,34838
14791,14791,4144,11957,2120,65156,2550,28336,482,35784,1900,47772,67,88,34849
14805,14805,4146,14766,2050,713,3147,29728,629,36068,998,47928,69,91,34867
14786,14787,4144,11027,1637,820,2986,28819,44,36391,1011,47438,68,90,34844
14778,14778,4142,8599,1961,2010,2704,27304,2656,39215,1298,49563,70,93,34836
14780,14780,4143,9774,1588,65214,2276,28941,914,36853,936,47713,66,87,34836
14785,14786,4144,10948,1587,64764,2278,27917,328,37109,1361,48149,67,89,34842
14805,14806,4146,15049,2482,65182,2741,27872,570,36313,1068,47199,68,90,34867
14803,14803,4146,14450,2065,715,1503,26791,1748,37743,1215,48969,68,90,34864
14783,14783,4143,10346,1026,875,2180,26017,1756,38560,397,48374,67,89,34839
14780,14781,4143,10231,1635,521,1216,27182,1524,37550,297,47141,68,90,34834
14782,14782,4143,10197,1427,178,2525,28436,1038,37687,1137,47083,66,88,34837
14802,14803,4146,14744,2672,64606,2831,29681,933,36393,2064,45229,65,86,34862
14807,14807,4147,15719,3010,1120,2030,27073,2308,39600,1635,49050,69,91,34866
14787,14788,4144,11067,1482,65292,2620,27524,1175,39211,787,45816,66,88,34846
14781,14781,4143,9564,1860,64875,1178,27509,1285,39801,818,47599,67,88,34838
14777,14777,4143,9029,2457,65354,3212,28601,157,37619,1028,46501,67,89,34832
14788,14788,4144,11536,1911,1417,2412,26235,1930,39732,1479,49695,69,91,34844
14790,14791,4144,11961,2894,64917,3084,27819,132,37989,1131,46199,67,88,34849
14789,14789,4144,11699,2617,65063,2579,27525,656,38921,645,46704,67,89,34846
14786,14786,4144,10837,2828,64048,3017,27541,413,37994,960,47164,67,89,34845
14802,14803,4146,14323,2396,1853,2785,26061,2408,39664,1074,49236,69,92,34864
14813,14813,4147,16772,1589,65160,2436,26337,167,37306,474,46793,69,91,34875
14802,14802,4146,14324,1562,730,1918,27056,248,37967,318,47414,67,89,34863
14781,14781,4143,9315,1386,198,2876,26664,312,36900,239,47582,67,88,34839
14785,14785,4144,10578,1146,1834,2078,25074,1608,38518,1172,48903,67,89,34842
14803,14803,4146,14386,2210,505,2600,27323,1076,38187,912,48090,67,89,34865
14814,14815,4148,17082,2144,1492,2141,28728,741,38164,354,47944,68,90,34877
14816,14816,4148,17329,2626,65254,3300,28577,202,36993,1181,47277,67,88,34880
14814,14814,4148,16978,1651,1400,2441,26051,971,37895,901,49124,68,90,34876
14822,14823,4149,18943,1580,195,2768,27237,887,35903,1133,47866,66,87,34887
14805,14806,4146,14689,2028,153,2965,25643,453,36066,563,47319,67,88,34870
14795,14795,4145,12620,3292,2073,2489,25366,2399,37746,828,49010,69,91,34855
14792,14793,4145,12172,2151,65192,2544,28530,1257,35356,2296,46110,65,86,34852
14800,14800,4146,13977,2283,2412,1951,25209,2667,38037,1542,48850,69,92,34858
14829,14829,4150,20296,1858,785,2859,28867,666,35985,416,46650,68,90,34895
14850,14850,4153,25098,2830,1035,2762,28790,709,37497,648,47826,68,90,34918
14840,14840,4151,22848,2605,65196,3278,29925,1314,35585,2277,45189,66,88,34908
14833,14833,4150,20958,1469,1357,2118,27662,940,37596,917,47588,68,90,34900
14826,14826,4149,19622,2184,790,2741,28363,413,37077,806,46918,67,89,34892
14824,14824,4149,19319,1688,269,2266,27828,800,37175,643,46947,67,89,34888
14821,14822,4149,18941,2523,1019,1570,27038,704,37227,953,46345,66,88,34885
14817,14817,4148,17720,1599,469,2687,25749,704,38135,941,46715,67,89,34881
14815,14815,4148,17376,2652,1195,2141,27876,1140,37678,644,46358,68,90,34878
14816,14816,4148,17387,1972,912,2305,25588,894,37324,841,46915,68,90,34880
14820,14821,4148,18344,1851,363,1832,27016,1020,37113,90,47317,68,90,34886
14814,14814,4148,17028,1777,643,2692,26669,963,37617,365,47434,68,90,34877
14824,14824,4149,19113,1905,868,2495,26745,520,38324,1261,47045,67,89,34889
14835,14835,4151,22036,1568,1241,2508,26429,398,37442,122,46700,67,89,34900
14829,14829,4150,20196,2063,2321,1871,23989,2785,38779,1236,48731,69,92,34895
14812,14812,4147,16481,1752,1023,2573,25738,155,37225,322,46572,67,89,34876
14811,14811,4147,16486,2536,446,2407,27225,493,37895,1266,47790,66,88,34873
14820,14820,4149,18614,2992,533,2806,26534,501,37283,1246,47158,67,88,34883
14812,14812,4147,16591,2445,2950,2139,23374,2326,39496,1320,49077,69,92,34874
14823,14823,4149,19548,3059,64900,3363,28487,534,36154,1769,45050,66,87,34887
14806,14806,4147,15276,2027,1545,2593,24871,1290,38345,760,47838,67,89,34868
