activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
129,171,49,8374,449,11250,406,2524,371,1641,148,919,7967,112,36209
129,170,49,8064,169,12339,644,2885,442,1648,623,604,7983,111,36190
129,170,49,8155,394,11748,170,2191,773,1864,250,1423,7915,110,36189
128,170,48,7803,610,11262,505,2809,563,1556,1007,995,7989,111,36185
130,170,48,7993,515,11467,422,2028,71,1468,454,386,7823,109,36203
130,170,48,8016,469,11253,451,2026,104,1771,218,522,7814,109,36220
129,170,48,7841,838,11192,150,2224,628,1173,848,321,7954,111,36238
129,171,48,8206,51,11421,1185,2846,751,1367,336,113,8003,112,36239
130,170,48,7941,553,11928,318,2694,487,2169,738,553,7862,110,36238
128,169,48,7484,878,12325,276,2217,849,2447,957,232,7982,110,36236
126,168,48,6988,166,11559,200,2054,320,1963,273,768,8081,111,36220
129,171,49,8363,693,11411,336,2930,198,2281,702,722,8033,112,36204
129,170,48,7901,561,11107,355,2863,598,1333,443,389,7920,110,36211
128,169,48,7460,182,11077,563,3092,481,1900,720,200,7932,110,36203
128,169,48,7399,428,11435,250,2649,373,1446,615,556,7930,110,36205
129,171,49,8446,389,12135,526,2708,295,1023,300,627,8035,112,36209
130,170,48,8016,429,11769,240,2244,408,1428,304,345,7838,110,36213
129,170,48,7904,509,11923,376,3065,154,1943,533,312,7918,110,36203
128,170,48,7826,684,11351,529,2985,297,1472,343,667,7964,111,36202
129,169,48,7638,299,11879,444,3309,852,1763,344,641,7861,109,36198
129,170,48,8154,862,11411,443,2096,576,1823,352,966,7927,111,36199
128,169,48,7433,210,11497,149,2685,217,1027,808,1063,7932,110,36203
128,170,48,7732,440,11781,301,2533,302,1675,536,721,7975,111,36189
128,169,48,7712,172,11080,385,3033,359,2416,422,258,7987,111,36196
128,170,48,7984,220,11428,114,3443,544,1464,297,716,7976,111,36197
130,172,49,8891,226,11822,300,2125,575,2149,536,495,7958,112,36176
129,171,49,8284,476,11641,50,2527,1013,1374,346,325,8002,112,36185
130,170,48,8152,859,10980,945,2525,376,1566,650,320,7854,110,36191
128,169,48,7718,289,11509,93,2648,579,2510,363,138,7940,110,36191
128,169,48,7611,614,11559,270,2951,201,1877,518,500,7917,110,36182
129,170,48,7991,452,11817,603,2598,1070,1472,734,290,7915,110,36193
128,169,48,7408,965,11753,257,3458,515,1295,709,62,7875,109,36188
128,169,48,7559,105,11661,358,3046,49,1423,654,370,7992,111,36177
129,171,49,8365,305,11566,467,2897,217,2234,615,191,7935,111,36168
129,170,48,7883,634,11640,625,2069,401,2045,335,146,7901,110,36143
127,169,48,7809,567,11717,299,2012,308,1642,523,587,8036,111,36139
128,169,48,7826,510,11496,982,2538,290,1785,225,311,7925,110,36128
128,169,48,7448,626,11307,600,3050,305,2412,368,1002,7899,109,36154
128,168,48,7094,428,10872,567,2930,611,1048,313,160,7885,108,36163
128,169,48,7566,775,11394,721,2386,414,1625,265,276,7973,110,36151
128,168,48,7393,791,11522,448,2217,616,1641,559,931,7864,109,36128
127,169,48,7681,734,11633,166,2684,793,1185,892,279,8069,111,36128
127,169,48,7698,470,11917,224,3074,234,1518,808,375,8054,111,36131
128,168,48,7110,343,11974,705,3160,220,2304,387,438,7859,108,36130
128,171,49,8396,247,11082,567,2427,246,1540,730,459,8029,112,36143
129,169,48,7661,477,11241,616,3043,367,1215,324,533,7888,109,36130
128,169,48,7750,688,11464,326,2602,636,1977,721,255,7971,110,36127
131,172,49,8840,876,11794,639,1940,153,1715,250,1202,7861,111,36151
129,170,48,8092,124,10980,202,2754,261,1684,618,523,7917,110,36154
130,171,49,8666,298,11245,910,2594,135,1238,726,483,7933,111,36139
128,169,48,7554,353,11236,50,2313,394,1792,355,593,7972,110,36127
128,169,48,7886,448,12154,303,2391,512,1827,301,103,7972,111,36120
128,169,48,7734,133,11417,418,2616,288,2082,499,40,7927,110,36127
126,168,48,7119,538,11577,163,2958,476,1657,666,837,8045,110,36120
128,169,48,7582,1099,11521,316,2737,553,1533,196,947,7899,109,36116
129,169,48,7827,312,11138,254,2633,834,1339,417,517,7812,109,36114
127,168,48,7242,170,11185,292,3255,344,942,310,385,7981,110,36117
128,168,48,7352,264,11544,431,1932,322,2614,118,357,7887,109,36119
127,169,48,7664,402,12077,495,2681,148,1194,687,793,8058,111,36118
126,168,48,7029,361,11964,340,2319,366,1750,394,553,8033,110,36119
130,170,48,8123,619,11744,497,2816,436,2114,364,407,7833,109,36127
129,169,48,7708,326,11816,580,2435,307,1982,153,745,7890,109,36125
126,168,48,7263,369,11130,830,2407,392,2300,567,314,8056,110,36106
127,169,48,7772,562,11705,558,2570,862,2275,247,734,8027,111,36109
128,169,48,7720,411,12084,487,2733,366,1904,605,932,7985,110,36118
127,168,48,7062,264,11458,602,3237,894,2099,240,104,7971,109,36118
129,169,48,7806,391,10986,306,2551,1233,2175,209,568,7913,110,36130
127,169,48,7602,511,11912,442,2563,833,1710,879,639,7985,110,36136
129,170,48,8080,424,12006,194,2523,907,1816,159,808,7930,110,36120
127,168,48,7328,587,11683,939,2459,86,2248,647,398,7975,110,36115
127,168,48,7150,340,11102,355,2358,613,2502,451,49,7924,109,36112
128,169,48,7364,904,12273,551,2571,596,1493,372,685,7915,109,36146
129,169,48,7887,892,11594,253,3452,236,1230,712,275,7832,109,36129
128,169,48,7623,497,10997,229,2522,414,1558,558,632,7929,110,36125
127,167,48,7056,141,11017,569,2840,288,1889,638,514,7954,109,36106
128,169,48,7590,435,11268,300,2396,1025,1521,560,154,7894,109,36120
128,170,48,8010,365,11180,995,2631,701,1007,389,631,7988,111,36110
126,168,48,7132,728,11313,489,2624,329,1706,988,257,8007,110,36117
128,169,48,7802,329,10784,246,2824,134,1770,161,602,7929,110,36123
127,169,48,7793,585,11248,106,2208,214,1108,282,510,8042,111,36134
128,169,48,7690,561,11676,313,2436,243,1460,683,171,7992,111,36127
127,168,48,7349,467,11635,375,2997,389,1567,445,264,8027,110,36123
129,169,48,7920,653,11516,359,2484,476,1646,390,929,7846,109,36114
128,170,48,7956,1106,11504,723,3240,777,1696,830,76,7953,110,36111
127,168,48,7428,495,11067,362,2530,923,1911,819,480,8014,110,36121
128,169,48,7608,508,11725,562,2851,443,2062,703,90,7947,110,36130
128,169,48,7572,12,11653,667,2920,703,2342,429,299,7973,110,36121
126,167,48,7079,458,11440,606,2592,568,1397,854,384,8008,110,36105
128,170,49,8387,276,10936,882,3026,113,1569,409,250,8032,112,36109
127,168,48,7201,1052,11661,491,2896,364,1835,731,781,7964,109,36097
127,168,48,7089,527,12250,376,3234,823,1341,964,149,7969,109,36125
130,170,48,8269,178,11370,777,3352,842,2106,609,245,7899,110,36138
129,170,48,7923,451,11651,575,2452,438,1187,584,598,7881,110,36115
129,169,48,7582,763,11386,966,2195,241,2081,283,673,7836,109,36118
128,169,48,7537,450,11620,444,2179,80,2274,687,826,7912,109,36126
129,171,49,8472,525,10629,458,2943,306,1408,361,651,7968,111,36133
128,170,48,7989,654,11226,90,4070,159,1223,281,62,7988,111,36115
129,170,49,8212,385,11898,635,2202,562,1874,852,351,7943,111,36100
127,169,48,7584,873,11411,477,2261,295,1487,322,442,7992,110,36100
127,169,48,7515,646,11399,611,2659,719,1935,958,510,8024,111,36119
127,169,48,7728,540,11590,39,3343,142,2386,123,485,8025,111,36117
129,169,48,7804,173,12269,400,2285,1291,1556,560,747,7897,110,36112
128,168,48,7505,279,11461,696,2589,417,2307,565,705,7879,109,36106
129,169,48,8020,389,11498,68,3232,800,1232,155,334,7907,110,36086
128,168,48,7453,341,12332,880,2939,657,1292,521,828,7899,109,36089
128,169,48,7990,791,11074,162,3091,132,1749,383,467,7988,111,36083
127,168,48,7287,538,11313,564,3152,414,2065,380,332,7949,109,36087
127,168,48,7369,273,11804,189,2025,304,1779,420,317,7966,110,36084
127,167,48,7021,553,11454,241,2441,379,1672,203,433,7960,109,36080
128,168,48,7336,752,11526,440,2504,655,1748,516,977,7906,109,36063
127,168,48,7322,383,11369,63,2690,138,1309,238,326,7934,109,36060
128,169,48,7642,220,11787,265,1977,321,1660,348,629,7944,110,36061
128,168,48,7337,148,11409,729,2255,695,1915,143,321,7900,109,36073
127,168,48,7450,730,11666,346,2337,628,2013,382,281,7959,110,36074
126,167,48,6796,614,12079,883,2092,162,1543,637,1143,7935,108,36060
128,169,48,7714,427,11520,147,2755,926,1380,278,502,7948,110,36067
